Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Sst	37	4527	401	2279	[2279, 2259, 2277, 0]	[0.9994799932090137, 1.077183672999471e-17, 4.2862394554537404e-144, 0.0005200067909862521]
Neurod6	21	4528	486	2273	[2273, 2269, 2290, 0]	[0.9961844496659138, 3.4296234335507867e-23, 5.457969875138537e-24, 0.003815550334086283]
Pde1a	27	4529	482	2273	[2273, 2269, 2290, 0]	[0.988886232626389, 1.2295072218800122e-21, 5.064494056945082e-25, 0.011113767373611147]
Rgs4	31	4529	478	2273	[2273, 2269, 2290, 0]	[0.9514658470983666, 6.081535425142225e-19, 2.3994284654499494e-28, 0.048534152901633376]
Pde1a	27	4529	462	0	[2273, 2269, 2279, 0]	[0.003903302659674088, 1.0282502907907774e-14, 2.2622164415082294e-08, 0.9960966747181512]
Nrsn1	25	4529	335	2277	[2277, 2301, 2293, 0]	[0.9945889916349737, 1.7686734032941355e-121, 4.209096769188604e-35, 0.005411008365026203]
Sst	37	4530	398	2279	[2279, 2259, 2277, 0]	[0.9991314707750122, 2.8578305136875e-19, 3.4881603802737663e-130, 0.0008685292249879373]
Pde1a	27	4531	470	2273	[2273, 2269, 2290, 0]	[0.5021384172616736, 1.556001217466691e-17, 1.9810235206692086e-35, 0.4978615827383263]
Neurod6	21	4532	494	2273	[2273, 2290, 2269, 0]	[0.98979314406325, 7.925999733399669e-15, 5.083764028648217e-34, 0.010206855936742157]
Prkca	28	4533	487	2273	[2273, 2269, 2290, 0]	[0.9814524645496737, 3.244980689895114e-29, 1.9213512953671245e-15, 0.018547535450324216]
Crhbp	9	4533	399	2279	[2279, 2259, 2277, 0]	[0.9763905789386514, 3.7695001585260593e-19, 9.891934625545005e-132, 0.023609421061348435]
Id2	15	4535	479	2273	[2273, 2269, 2290, 0]	[0.8674454950147155, 7.414853739797323e-26, 1.8664774665133864e-18, 0.13255450498528465]
