Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Reln	30	4602	501	2300	[2300, 2313, 2290, 0]	[0.8870275709651256, 2.578403931771069e-06, 5.904284382148924e-80, 0.11296985063094264]
3110035E14Rik	0	4602	486	2313	[2300, 2313, 2290, 0]	[2.496215562876466e-09, 0.9979032687128951, 3.7082966118628275e-83, 0.0020967287908892213]
Nrn1	24	4602	471	0	[2300, 2313, 2308, 0]	[2.4572449768409915e-25, 0.000204140845089902, 2.080495292171159e-43, 0.9997958591549101]
Neurod6	21	4602	429	2308	[2308, 2318, 2300, 0]	[0.9977666114257393, 2.461500669286017e-15, 1.82714005799695e-144, 0.0022333885742583455]
Neurod6	21	4603	482	2313	[2300, 2313, 2290, 0]	[2.2026117325789423e-13, 0.9919461810110461, 1.5155685775029974e-88, 0.008053818988733625]
Rgs4	31	4605	454	2318	[2308, 2318, 2300, 0]	[9.735334505843748e-16, 0.9945377385045241, 3.98373910035471e-68, 0.005462261495474998]
Neurod6	21	4605	448	2318	[2308, 2318, 2300, 0]	[1.3660558869780803e-08, 0.9941779769906439, 6.471405397342162e-85, 0.005822009348797198]
Neurod6	21	4605	430	2308	[2308, 2318, 2300, 0]	[0.9932437243579924, 2.7908434254476785e-13, 8.571253804602791e-147, 0.006756275641728643]
Sst	37	4478	367	2279	[2277, 2279, 2259, 0]	[6.223490300033401e-129, 0.9957835652002531, 1.0138957624471884e-34, 0.004216434799746952]
Sst	37	4483	378	2279	[2279, 2259, 2277, 0]	[0.999145277379599, 6.4072323975013996e-24, 1.0780284778449059e-144, 0.0008547226204008586]
Sst	37	4485	389	2279	[2279, 2259, 2277, 0]	[0.999359771382118, 9.82045887437344e-16, 5.888721583249298e-177, 0.0006402286178812393]
Sst	37	4492	390	2279	[2279, 2259, 2277, 0]	[0.9996254257953824, 5.360808833703684e-15, 3.740776263901233e-160, 0.00037457420461232586]
Sst	37	4494	397	2279	[2279, 2259, 2277, 0]	[0.999508222445606, 2.3303393035622582e-11, 1.111615436763438e-182, 0.0004917775310906683]
Sst	37	4495	382	2279	[2279, 2259, 2277, 0]	[0.9995472113067871, 7.041198657447094e-20, 1.0642183874682448e-123, 0.00045278869321277514]
Sst	37	4496	393	2279	[2279, 2259, 2277, 0]	[0.9996769506310186, 1.6099441117463431e-13, 2.808292628440964e-161, 0.0003230493688205351]
Sst	37	4498	382	2279	[2279, 2259, 2277, 0]	[0.9995340133770383, 8.252670321906082e-20, 1.704797077639179e-116, 0.0004659866229616889]
Sst	37	4500	394	2279	[2279, 2259, 2277, 0]	[0.9997231986285492, 2.1927906199235967e-13, 1.186398710585747e-155, 0.00027680137123152953]
Sst	37	4501	402	2279	[2279, 2259, 2269, 0]	[0.999525850085868, 3.4743337594461e-10, 3.356463794585465e-76, 0.000474149566698682]
Sst	37	4502	399	2279	[2279, 2259, 2277, 0]	[0.9996708648881206, 1.6567344938589045e-11, 1.177612731139058e-171, 0.00032913509531203657]
Sst	37	4506	388	2279	[2279, 2259, 2277, 0]	[0.9996782066851009, 7.334169520262598e-17, 1.5204396754678739e-120, 0.00032179331489921544]
Sst	37	4507	395	2279	[2279, 2259, 2277, 0]	[0.9997542531152198, 6.302873160231544e-14, 3.767562164412639e-145, 0.00024574688471703984]
Sst	37	4509	407	2279	[2279, 2259, 2269, 0]	[0.999467667965082, 1.4746192049155363e-10, 2.1001657504130563e-64, 0.0005323318874561602]
Sst	37	4512	402	2279	[2279, 2259, 2277, 0]	[0.9997057510948681, 1.1019026569740687e-12, 1.7546433140608293e-165, 0.00029424890402985504]
